"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","Genes"
"9316","GO:0044456",9.62120622151282e-11,1,53,646,"synapse part","CC","Actb, Actg1, Ank2, Arpc2, Atp1a2, Calm1, Calm2, Calm3, Camk2n1, Cdk16, Cfl1, Clta, Cnih2, Cpe, Cplx2, Ctnnb1, Dbi, Fabp5, Fkbp1a, Gapdh, Glul, Gpm6a, Hnrnpab, Hnrnpk, Hpca, Kif1a, Map1b, Mapt, Marcksl1, Mt3, Ncs1, Nefl, Nrgn, Nsmf, Pebp1, Pfn2, Ppp2ca, Psma7, Ptprz1, Rab11a, Rab1a, Rab3a, Rheb, Sept7, Snap25, Snca, Sncb, Sptbn1, Stx1a, Stx7, Usp50, Vamp2, Ywhah"
"2017","GO:0005737",1.06015138803034e-10,1,262,4864,"cytoplasm","CC","Acat2, Acsbg1, Actb, Actg1, Akap12, Anapc11, Ank2, Ap3s1, Apc, Arf5, Arl8a, Arpc2, Arpc5, Atox1, Atp1a2, Atp5d, Atp5e, Atp5f1, Atp5g2, Atp5g3, Atp5h, Atp5j2, Atp6v1g1, Atpif1, Atxn1, Atxn7l3b, Banf1, Basp1, Bola2, Bsg, Bzw1, Calm1, Calm2, Calm3, Capza2, Ccnd2, Cdk14, Cdk16, Cdk4, Cetn3, Cfl1, Chd3, Cldn5, Clta, Cmpk1, Cnih2, Cops6, Cox4i1, Cox6a1, Cox6b1, Cox6c, Cox7a2, Cox7a2l, Cox7b, Cox7c, Cox8a, Cpe, Cplx2, Cst3, Ctnnb1, Cycs, Dbi, Dctpp1, Dnaja1, Dnajb6, Dstn, Dynlt1a, Edf1, Eef1a1, Eef1b2, Eef1d, Eef1e1, Eef1g, Eef2, Eif2s2, Eif3f, Eif3k, Eif4a1, Eif4a2, Eif5a, Eml2, Evl, Fabp3, Fabp5, Fabp7, Fau, Fdps, Fez1, Fgf13, Fis1, Fkbp1a, Fth1, Ftl1, Gabarap, Gapdh, Gas7, Gatm, Glul, Gnai2, Gng5, Gpx1, Gpx4, Hadhb, Hba-a1, Hba-a2, Hbb-bs, Hint1, Hist3h2ba, Hmgb2, Hnrnpab, Hnrnpk, Hpca, Hras, Hsp90aa1, Hsp90ab1, Hspe1, Id2, Idh3g, Ift20, Kif1a, Kif1b, Lsm4, Lsm5, Map1b, Mapt, Marcks, Marcksl1, Mcf2l, Mcrs1, Mdh2, Mgst3, Mif, Minos1, Mllt11, Mmd, Mocs2, Mpc1, Mt1, Mt2, Mt3, Naca, Nap1l1, Nav1, Ncald, Ncs1, Ndn, Ndrg2, Ndufa1, Ndufa11, Ndufa2, Ndufa4, Ndufa7, Ndufb8, Ndufb9, Nedd8, Nefl, Nisch, Nnat, Npm1, Nrgn, Nsmf, Nucks1, Pcp4, Pcsk1n, Pdap1, Pebp1, Pfdn2, Pfdn5, Pfn2, Pgls, Ppia, Ppig, Ppp1r14b, Ppp2ca, Ppp2r2b, Prdx2, Psma7, Psmb3, Ptgds, Ptprz1, Qk, Rab11a, Rab18, Rab1a, Rab3a, Rabep1, Rbp1, Rcn2, Rgcc, Rheb, Rnf187, Rtn1, Scoc, Sdhb, Sec62, Sept7, Serbp1, Serinc1, Serpine2, Slc25a4, Slc25a5, Smdt1, Smyd2, Snap25, Snca, Sncb, Snrpd1, Snrpd2, Snrpe, Snrpg, Snrpn, Sox4, Sptbn1, Sptssa, Srsf3, Ssb, Ssr4, Stard3nl, Stmn2, Stmn3, Stx1a, Stx7, Sult4a1, Sumo1, Tbca, Thoc7, Timm8b, Tmem256, Tmsb10, Tmsb4x, Tomm7, Top1, Tpr, Tpt1, Trappc2l, Ttc3, Tuba1a, Tubb2a, Tubb2b, Tubb3, Tubb5, Tulp4, Uap1, Ubb, Ubc, Ubl5, Uchl1, Uqcr11, Uqcrb, Uqcrh, Uqcrq, Use1, Usp47, Usp50, Vamp2, Vapa, Vsnl1, Ywhae, Ywhah, Ywhaq, Zc3h15, Zfp260"
"5878","GO:0030426",6.07984894391139e-10,0.999999999915593,22,141,"growth cone","CC","Apc, Arpc2, Arpc5, Calm1, Calm2, Calm3, Cfl1, Dynlt1a, Fez1, Fgf13, Gpm6a, Hsp90aa1, Hsp90ab1, Map1b, Mapt, Nefl, Ptprz1, Snap25, Snca, Sncb, Stmn2, Ywhae"
"8729","GO:0042995",6.47220173718561e-10,1,80,1119,"cell projection","CC","Actb, Actg1, Ap3s1, Apc, Arpc2, Arpc5, Atp1a2, Basp1, Bsg, Calm1, Calm2, Calm3, Camk2n1, Cdk16, Cetn3, Cfl1, Cldn5, Cnih2, Cpe, Cplx2, Cst3, Ctnnb1, Dynlt1a, Eef1a1, Eif5a, Evl, Fabp7, Fez1, Fgf13, Fkbp1a, Gabarap, Gas7, Glul, Gnai2, Gnb1, Gpm6a, Hnrnpk, Hpca, Hsp90aa1, Hsp90ab1, Ift20, Kif1a, Kif1b, Lsm4, Map1b, Mapt, Mcf2l, Mcrs1, Nap1l1, Nav1, Ncs1, Ndn, Ndrg2, Nefl, Nrgn, Nsmf, Pcp4, Pebp1, Pfn2, Ppp2ca, Ptprz1, Rab11a, Rab3a, Rheb, Sept7, Snap25, Snca, Sncb, Sptbn1, Stmn2, Stmn3, Stx1a, Sumo1, Tubb3, Tulp4, Ubb, Uchl1, Usp50, Vamp2, Ywhae"
"5879","GO:0030427",6.64455911072391e-10,0.999999999907304,22,142,"site of polarized growth","CC","Apc, Arpc2, Arpc5, Calm1, Calm2, Calm3, Cfl1, Dynlt1a, Fez1, Fgf13, Gpm6a, Hsp90aa1, Hsp90ab1, Map1b, Mapt, Nefl, Ptprz1, Snap25, Snca, Sncb, Stmn2, Ywhae"
"14661","GO:0120025",8.07909542251976e-10,1,76,1037,"plasma membrane bounded cell projection","CC","Actb, Actg1, Ap3s1, Apc, Arpc2, Arpc5, Atp1a2, Bsg, Calm1, Calm2, Calm3, Camk2n1, Cdk16, Cetn3, Cfl1, Cldn5, Cnih2, Cpe, Cplx2, Cst3, Ctnnb1, Dynlt1a, Eef1a1, Eif5a, Evl, Fez1, Fgf13, Fkbp1a, Gabarap, Gas7, Glul, Gnai2, Gnb1, Gpm6a, Hnrnpk, Hpca, Hsp90aa1, Hsp90ab1, Ift20, Kif1a, Kif1b, Lsm4, Map1b, Mapt, Mcf2l, Mcrs1, Nap1l1, Nav1, Ncs1, Nefl, Nrgn, Nsmf, Pcp4, Pebp1, Pfn2, Ppp2ca, Ptprz1, Rab11a, Rab3a, Rheb, Sept7, Snap25, Snca, Sncb, Sptbn1, Stmn2, Stmn3, Stx1a, Sumo1, Tubb3, Tulp4, Ubb, Uchl1, Usp50, Vamp2, Ywhae"
"14236","GO:0098793",2.36012703965372e-09,1,34,320,"presynapse","CC","Actb, Actg1, Arpc2, Calm1, Calm2, Calm3, Cdk16, Clta, Cplx2, Ctnnb1, Dbi, Fkbp1a, Glul, Gpm6a, Hnrnpab, Hnrnpk, Kif1a, Marcksl1, Mt3, Ncs1, Nefl, Pebp1, Pfn2, Ppp2ca, Rab1a, Rab3a, Sept7, Snap25, Snca, Sncb, Stx1a, Stx7, Vamp2, Ywhah"
"12356","GO:0065008",2.42264455823225e-09,1,101,1556,"regulation of biological quality","BP","Ank2, Apc, Arpc2, Arpc5, Atox1, Atp1a2, Atp6v1g1, Atpif1, Atxn1, Capza2, Cd81, Cdk16, Cdk4, Cfl1, Cnih2, Cpe, Cplx2, Ctnnb1, Dbi, Dstn, Eif5a, Evl, Fabp3, Fabp5, Fgf13, Fis1, Fkbp1a, Fth1, Ftl1, Fto, Gapdh, Gas7, Gatm, Glul, Gnai2, Gnb1, Gpm6a, Gpm6b, Gpx1, Hba-a1, Hba-a2, Hmgb2, Hnrnpk, Hpca, Hras, Hsp90aa1, Hsp90ab1, Id2, Malat1, Map1b, Mapt, Mcrs1, Mif, Mllt11, Mt1, Mt2, Mt3, Ncald, Ncs1, Ndn, Nefl, Nenf, Nnat, Npm1, Nrgn, Nsmf, Nucks1, Pcsk1n, Pebp1, Pfn2, Ppp2ca, Prdx2, Qk, Rab11a, Rab1a, Rab3a, Rbp1, Rheb, Scoc, Serpine2, Slc25a4, Slc25a5, Smdt1, Snap25, Snca, Sox4, Sptbn1, Stx1a, Sumo1, Tmsb10, Tmsb4x, Tomm7, Tuba1a, Tubb5, Ubb, Ube2v2, Usp47, Vamp2, Vsnl1, Ywhae, Ywhah"
"1851","GO:0005200",3.37716184308309e-09,0.999999999765855,12,38,"structural constituent of cytoskeleton","MF","Actb, Actg1, Arpc2, Arpc5, Nefl, Nisch, Sptbn1, Tuba1a, Tubb2a, Tubb2b, Tubb3, Tubb5"
"9243","GO:0044325",5.40945816182171e-09,0.999999999301997,17,81,"ion channel binding","MF","Ank2, Calm1, Calm2, Calm3, Ctnnb1, Fgf13, Fkbp1a, Hsp90aa1, Hsp90ab1, Id2, Ppp2ca, Snap25, Stx1a, Vamp2, Ywhae, Ywhah, Ywhaq"
"1965","GO:0005623",9.66880281449585e-09,1,298,6196,"cell","CC","Acat2, Acsbg1, Actb, Actg1, Akap12, Anapc11, Anapc13, Ank2, Ap3s1, Apc, Arf5, Arl8a, Arpc2, Arpc5, Atox1, Atp1a2, Atp5d, Atp5e, Atp5f1, Atp5g2, Atp5g3, Atp5h, Atp5j2, Atp6v1g1, Atpif1, Atxn1, Atxn7l3b, Banf1, Basp1, Bend6, Bola2, Bsg, Bzw1, Calm1, Calm2, Calm3, Camk2n1, Capza2, Ccnd2, Cd81, Cdk14, Cdk16, Cdk4, Cetn3, Cfl1, Chd3, Cldn5, Cldnd1, Clta, Cmpk1, Cnih2, Cops6, Cox4i1, Cox6a1, Cox6b1, Cox6c, Cox7a2, Cox7a2l, Cox7b, Cox7c, Cox8a, Cpe, Cplx2, Crlf1, Cst3, Ctnnb1, Cycs, Dbi, Dctpp1, Dda1, Dnaja1, Dnajb6, Dstn, Dynlt1a, Edf1, Eef1a1, Eef1b2, Eef1d, Eef1e1, Eef1g, Eef2, Eif2s2, Eif3f, Eif3k, Eif4a1, Eif4a2, Eif5a, Eml2, Eri3, Evl, Fabp3, Fabp5, Fabp7, Fau, Fdps, Fez1, Fgf13, Fis1, Fkbp1a, Fth1, Ftl1, Fto, Gabarap, Gapdh, Gas7, Gatm, Ggt7, Glul, Gnai2, Gnb1, Gng2, Gng5, Gpm6a, Gpm6b, Gpx1, Gpx4, Gtf2a2, H2afv, H2afz, H3f3a, Hadhb, Hba-a1, Hba-a2, Hbb-bs, Hint1, Hist1h2al, Hist3h2ba, Hmgb2, Hnrnpab, Hnrnpk, Hpca, Hras, Hsp90aa1, Hsp90ab1, Hspe1, Id2, Idh3g, Ift20, Jund, Kif1a, Kif1b, Lmo4, Lsm4, Lsm5, Malat1, Map1b, Mapt, Marcks, Marcksl1, Mcf2l, Mcrs1, Mdh2, Mfge8, Mgst3, Mif, Minos1, Mllt11, Mmd, Mocs2, Mpc1, Mt1, Mt2, Mt3, Myl6, Naca, Nap1l1, Nav1, Ncald, Ncs1, Ndn, Ndrg2, Ndufa1, Ndufa11, Ndufa2, Ndufa4, Ndufa7, Ndufb8, Ndufb9, Nedd8, Nefl, Nenf, Nisch, Nnat, Npm1, Nrgn, Nsa2, Nsmf, Nucks1, Pcp4, Pcsk1n, Pdap1, Pebp1, Pfdn2, Pfdn5, Pfn2, Pgls, Polr1d, Ppia, Ppig, Ppp1r14b, Ppp2ca, Ppp2r2b, Prdx2, Psma7, Psmb3, Ptgds, Ptma, Ptprz1, Qk, Rab11a, Rab18, Rab1a, Rab3a, Rabep1, Rbp1, Rcn2, Rgcc, Rheb, Rnf187, Rtf1, Rtn1, Scand1, Scoc, Sdhb, Sec62, Sept7, Serbp1, Serinc1, Serpine2, Slc25a4, Slc25a5, Smdt1, Smyd2, Snap25, Snca, Sncb, Snrpd1, Snrpd2, Snrpe, Snrpg, Snrpn, Son, Sox4, Sptbn1, Sptssa, Srrm2, Srsf3, Ssb, Ssr4, Stard3nl, Stmn2, Stmn3, Stx1a, Stx7, Sult4a1, Sumo1, Tbca, Tcf25, Thoc7, Timm8b, Tmem256, Tmsb10, Tmsb4x, Tomm7, Top1, Tpr, Tpt1, Trappc2l, Tshz2, Ttc3, Tuba1a, Tubb2a, Tubb2b, Tubb3, Tubb5, Tulp4, Uap1, Ubb, Ubc, Ube2v2, Ubl5, Uchl1, Uqcr11, Uqcrb, Uqcrh, Uqcrq, Use1, Usp47, Usp50, Vamp2, Vapa, Vsnl1, Yaf2, Ywhae, Ywhah, Ywhaq, Zc3h15, Zfp260"
"9320","GO:0044464",9.66880281449585e-09,1,298,6196,"cell part","CC","Acat2, Acsbg1, Actb, Actg1, Akap12, Anapc11, Anapc13, Ank2, Ap3s1, Apc, Arf5, Arl8a, Arpc2, Arpc5, Atox1, Atp1a2, Atp5d, Atp5e, Atp5f1, Atp5g2, Atp5g3, Atp5h, Atp5j2, Atp6v1g1, Atpif1, Atxn1, Atxn7l3b, Banf1, Basp1, Bend6, Bola2, Bsg, Bzw1, Calm1, Calm2, Calm3, Camk2n1, Capza2, Ccnd2, Cd81, Cdk14, Cdk16, Cdk4, Cetn3, Cfl1, Chd3, Cldn5, Cldnd1, Clta, Cmpk1, Cnih2, Cops6, Cox4i1, Cox6a1, Cox6b1, Cox6c, Cox7a2, Cox7a2l, Cox7b, Cox7c, Cox8a, Cpe, Cplx2, Crlf1, Cst3, Ctnnb1, Cycs, Dbi, Dctpp1, Dda1, Dnaja1, Dnajb6, Dstn, Dynlt1a, Edf1, Eef1a1, Eef1b2, Eef1d, Eef1e1, Eef1g, Eef2, Eif2s2, Eif3f, Eif3k, Eif4a1, Eif4a2, Eif5a, Eml2, Eri3, Evl, Fabp3, Fabp5, Fabp7, Fau, Fdps, Fez1, Fgf13, Fis1, Fkbp1a, Fth1, Ftl1, Fto, Gabarap, Gapdh, Gas7, Gatm, Ggt7, Glul, Gnai2, Gnb1, Gng2, Gng5, Gpm6a, Gpm6b, Gpx1, Gpx4, Gtf2a2, H2afv, H2afz, H3f3a, Hadhb, Hba-a1, Hba-a2, Hbb-bs, Hint1, Hist1h2al, Hist3h2ba, Hmgb2, Hnrnpab, Hnrnpk, Hpca, Hras, Hsp90aa1, Hsp90ab1, Hspe1, Id2, Idh3g, Ift20, Jund, Kif1a, Kif1b, Lmo4, Lsm4, Lsm5, Malat1, Map1b, Mapt, Marcks, Marcksl1, Mcf2l, Mcrs1, Mdh2, Mfge8, Mgst3, Mif, Minos1, Mllt11, Mmd, Mocs2, Mpc1, Mt1, Mt2, Mt3, Myl6, Naca, Nap1l1, Nav1, Ncald, Ncs1, Ndn, Ndrg2, Ndufa1, Ndufa11, Ndufa2, Ndufa4, Ndufa7, Ndufb8, Ndufb9, Nedd8, Nefl, Nenf, Nisch, Nnat, Npm1, Nrgn, Nsa2, Nsmf, Nucks1, Pcp4, Pcsk1n, Pdap1, Pebp1, Pfdn2, Pfdn5, Pfn2, Pgls, Polr1d, Ppia, Ppig, Ppp1r14b, Ppp2ca, Ppp2r2b, Prdx2, Psma7, Psmb3, Ptgds, Ptma, Ptprz1, Qk, Rab11a, Rab18, Rab1a, Rab3a, Rabep1, Rbp1, Rcn2, Rgcc, Rheb, Rnf187, Rtf1, Rtn1, Scand1, Scoc, Sdhb, Sec62, Sept7, Serbp1, Serinc1, Serpine2, Slc25a4, Slc25a5, Smdt1, Smyd2, Snap25, Snca, Sncb, Snrpd1, Snrpd2, Snrpe, Snrpg, Snrpn, Son, Sox4, Sptbn1, Sptssa, Srrm2, Srsf3, Ssb, Ssr4, Stard3nl, Stmn2, Stmn3, Stx1a, Stx7, Sult4a1, Sumo1, Tbca, Tcf25, Thoc7, Timm8b, Tmem256, Tmsb10, Tmsb4x, Tomm7, Top1, Tpr, Tpt1, Trappc2l, Tshz2, Ttc3, Tuba1a, Tubb2a, Tubb2b, Tubb3, Tubb5, Tulp4, Uap1, Ubb, Ubc, Ube2v2, Ubl5, Uchl1, Uqcr11, Uqcrb, Uqcrh, Uqcrq, Use1, Usp47, Usp50, Vamp2, Vapa, Vsnl1, Yaf2, Ywhae, Ywhah, Ywhaq, Zc3h15, Zfp260"
"10446","GO:0048468",9.80882787249236e-09,1,65,949,"cell development","BP","Actb, Actg1, Ank2, Apc, Arpc2, Atxn1, Bend6, Bsg, Cdk16, Cfl1, Cldn5, Ctnnb1, Eef1a1, Evl, Fdps, Fez1, Fgf13, Gas7, Gpm6a, Gpx1, H3f3a, Hba-a1, Hba-a2, Hmgb2, Hnrnpk, Hsp90aa1, Hsp90ab1, Id2, Ift20, Jund, Map1b, Mapt, Mif, Mmd, Mt3, Naca, Nap1l1, Ncs1, Ndn, Nefl, Nsmf, Pcp4, Pebp1, Ptprz1, Qk, Rab11a, Rab1a, Rab3a, Rheb, Sept7, Serpine2, Slc25a4, Snap25, Sox4, Stmn2, Stmn3, Ttc3, Tubb2b, Tubb3, Ubb, Ube2v2, Uchl1, Uqcrq, Vapa, Ywhah"
"10563","GO:0048699",1.14376595529123e-08,1,55,767,"generation of neurons","BP","Actb, Apc, Atxn1, Bend6, Bsg, Cdk16, Cfl1, Ctnnb1, Eef1a1, Evl, Fez1, Fgf13, Gas7, Gpm6a, Hmgb2, Hnrnpk, Hsp90aa1, Hsp90ab1, Id2, Ift20, Lmo4, Map1b, Mapt, Mif, Mmd, Mt3, Nap1l1, Nav1, Ncs1, Ndn, Nefl, Nsmf, Pcp4, Ppia, Ptprz1, Qk, Rab11a, Rab3a, Rheb, Sept7, Serpine2, Snap25, Sox4, Stmn2, Stmn3, Ttc3, Tubb2b, Tubb3, Ubb, Ube2v2, Uchl1, Uqcrq, Vapa, Ywhae, Ywhah"
"8214","GO:0036477",1.17817975312403e-08,1,47,565,"somatodendritic compartment","CC","Apc, Arpc2, Atp1a2, Camk2n1, Cfl1, Cnih2, Cpe, Cplx2, Cst3, Ctnnb1, Dynlt1a, Eif5a, Fabp7, Fez1, Fgf13, Glul, Gnai2, Gnb1, Gpm6a, Hnrnpk, Hpca, Hsp90aa1, Hsp90ab1, Ift20, Kif1a, Kif1b, Map1b, Mapt, Mcrs1, Ncs1, Nrgn, Nsmf, Pebp1, Ptprz1, Rab1a, Rheb, Serpine2, Snap25, Snca, Sncb, Stmn2, Sumo1, Top1, Tubb3, Ubb, Uchl1, Usp50"
"5577","GO:0022008",1.47254160328953e-08,1,57,810,"neurogenesis","BP","Actb, Apc, Atxn1, Bend6, Bsg, Cdk16, Cfl1, Ctnnb1, Dbi, Eef1a1, Evl, Fabp7, Fez1, Fgf13, Gas7, Gpm6a, Hmgb2, Hnrnpk, Hsp90aa1, Hsp90ab1, Id2, Ift20, Lmo4, Map1b, Mapt, Mif, Mmd, Mt3, Nap1l1, Nav1, Ncs1, Ndn, Nefl, Nsmf, Pcp4, Ppia, Ptprz1, Qk, Rab11a, Rab3a, Rheb, Sept7, Serpine2, Snap25, Sox4, Stmn2, Stmn3, Ttc3, Tubb2b, Tubb3, Ubb, Ube2v2, Uchl1, Uqcrq, Vapa, Ywhae, Ywhah"
"9230","GO:0044306",1.57886803782457e-08,0.999999997597701,18,95,"neuron projection terminus","CC","Actb, Actg1, Apc, Arpc2, Cplx2, Fkbp1a, Glul, Hnrnpk, Ncs1, Pebp1, Pfn2, Ppp2ca, Rab3a, Sept7, Snca, Sncb, Uchl1, Vamp2"
"9222","GO:0044297",1.58374639498936e-08,1,41,436,"cell body","CC","Apc, Arpc2, Camk2n1, Cfl1, Cpe, Cplx2, Cst3, Dynlt1a, Eif5a, Fabp7, Fez1, Gabarap, Glul, Gnai2, Gnb1, Gpm6a, Hpca, Hsp90aa1, Hsp90ab1, Kif1a, Map1b, Mapt, Mcrs1, Nrgn, Nsmf, Pebp1, Ptprz1, Rab1a, Rbp1, Rheb, Sept7, Serpine2, Snap25, Snca, Sncb, Stmn2, Top1, Tubb3, Tubb5, Ubb, Uchl1"
