"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","Genes"
"8214","GO:0036477",5.74991224814287e-10,1,68,565,"somatodendritic compartment","CC","Apc, Atp1a2, Bmpr1a, Cald1, Camk2n1, Cd200, Cfl1, Chl1, Cnih2, Cpe, Cplx2, Crmp1, Cst3, Ctla2a, Ctnnb1, Ctsl, Dlgap4, Dpysl2, Dynlt1a, Eif5a, Epha5, Fabp7, Fez1, Fgf13, Gdi1, Gnai2, Gnas, Gnb1, Gsk3b, Hnrnpk, Hsp90aa1, Hsp90ab1, Ift20, Kif1a, Kif5c, Map1a, Map1b, Map2, Mapt, Ncs1, Npy, Nrgn, Nsg1, Nsmf, Pebp1, Plk2, Ppfia1, Prkaca, Ptprz1, Rab1a, Rheb, Rhoa, Rtn4, Serpine2, Slc1a3, Snap25, Snca, Sncb, Sst, Stmn2, Sumo1, Top1, Tubb3, Tubb4a, Ubb, Uchl1, Ybx1, Zwint"
"14661","GO:0120025",6.7164998013261e-10,1,106,1037,"plasma membrane bounded cell projection","CC","Actb, Actg1, Ap3s1, Apc, Arpc5, Atp1a2, Bmpr1a, Brk1, Bsg, Cald1, Calm1, Calm2, Calm3, Camk2n1, Cd200, Cd24a, Cfl1, Chl1, Cldn5, Cnih2, Cpe, Cplx2, Creb1, Crmp1, Cst3, Ctla2a, Ctnnb1, Ctsl, Dlgap4, Dpysl2, Dynll1, Dynlt1a, Eef1a1, Eif4g2, Eif5a, Epha5, Fez1, Fgf13, Fkbp1a, Gabarap, Gap43, Gas7, Gdi1, Gnai2, Gnas, Gnb1, Gsk3b, Hnrnpk, Hsp90aa1, Hsp90ab1, Ift20, Ift74, Kif1a, Kif5c, Lin7b, Lsm4, Map1a, Map1b, Map2, Mapt, Nav1, Ncs1, Nme2, Npy, Nrgn, Nsg1, Nsmf, Pcm1, Pcp4, Pebp1, Pfn1, Pfn2, Pin1, Plk2, Ppfia1, Prkaca, Ptprz1, Rab11a, Rab28, Rab3a, Ranbp1, Rgs17, Rheb, Rhoa, Rph3a, Rtn4, Slc1a3, Slc6a11, Slc9a3r2, Snap25, Snca, Sncb, Stmn1, Stmn2, Stmn3, Stx1a, Sumo1, Tbcc, Tubb3, Tubb4a, Ubb, Uchl1, Vamp2, Ybx1, Ywhae, Zwint"
"9319","GO:0044463",8.3251925240188e-10,1,81,730,"cell projection part","CC","Actb, Actg1, Ap3s1, Apc, Arpc5, Atp1a2, Bmpr1a, Cald1, Calm1, Calm2, Calm3, Camk2n1, Cd24a, Cfl1, Chl1, Cldn5, Cnih2, Cpe, Cplx2, Crmp1, Ctla2a, Ctnnb1, Dlgap4, Dpysl2, Dynll1, Dynlt1a, Eef1a1, Eif5a, Epha5, Fez1, Fgf13, Fkbp1a, Gabarap, Gap43, Gnai2, Gnas, Gnb1, Gsk3b, Hnrnpk, Hsp90aa1, Hsp90ab1, Ift20, Kif1a, Kif5c, Map1a, Map1b, Map2, Mapt, Nav1, Ncs1, Npy, Nrgn, Nsg1, Nsmf, Pcm1, Pebp1, Pfn2, Plk2, Ppfia1, Prkaca, Ptprz1, Rab28, Rab3a, Ranbp1, Rheb, Rhoa, Rtn4, Slc1a3, Snap25, Snca, Sncb, Stmn2, Sumo1, Tbcc, Tubb3, Tubb4a, Uchl1, Vamp2, Ybx1, Ywhae, Zwint"
"14668","GO:0120038",8.3251925240188e-10,1,81,730,"plasma membrane bounded cell projection part","CC","Actb, Actg1, Ap3s1, Apc, Arpc5, Atp1a2, Bmpr1a, Cald1, Calm1, Calm2, Calm3, Camk2n1, Cd24a, Cfl1, Chl1, Cldn5, Cnih2, Cpe, Cplx2, Crmp1, Ctla2a, Ctnnb1, Dlgap4, Dpysl2, Dynll1, Dynlt1a, Eef1a1, Eif5a, Epha5, Fez1, Fgf13, Fkbp1a, Gabarap, Gap43, Gnai2, Gnas, Gnb1, Gsk3b, Hnrnpk, Hsp90aa1, Hsp90ab1, Ift20, Kif1a, Kif5c, Map1a, Map1b, Map2, Mapt, Nav1, Ncs1, Npy, Nrgn, Nsg1, Nsmf, Pcm1, Pebp1, Pfn2, Plk2, Ppfia1, Prkaca, Ptprz1, Rab28, Rab3a, Ranbp1, Rheb, Rhoa, Rtn4, Slc1a3, Snap25, Snca, Sncb, Stmn2, Sumo1, Tbcc, Tubb3, Tubb4a, Uchl1, Vamp2, Ybx1, Ywhae, Zwint"
"8844","GO:0043209",1.49093298821094e-09,0.999999999639616,35,170,"myelin sheath","CC","Actb, Actg1, Atp1a2, Atp5h, Atp5o, Calm1, Calm2, Calm3, Cldn5, Cox5a, Cox6a1, Cycs, Dpysl2, Eef1a1, Gapdh, Gdi1, Gnb1, Hba-a1, Hsp90aa1, Mdh2, Mif, Nme2, Pebp1, Ppia, Prdx1, Prdx2, Rtn4, Slc25a4, Snap25, Tuba1b, Tubb4a, Uba52, Ubb, Ubc, Uchl1"
"14747","GO:0150034",2.28393445729932e-09,1,35,208,"distal axon","CC","Actb, Actg1, Apc, Arpc5, Calm1, Calm2, Calm3, Cfl1, Cplx2, Crmp1, Dpysl2, Dynlt1a, Fez1, Fgf13, Fkbp1a, Gsk3b, Hnrnpk, Hsp90aa1, Hsp90ab1, Kif5c, Map1b, Map2, Mapt, Ncs1, Npy, Pebp1, Pfn2, Ptprz1, Rab3a, Rtn4, Snap25, Snca, Sncb, Stmn2, Ywhae"
"10446","GO:0048468",2.72129547333514e-09,1,94,949,"cell development","BP","Actb, Actg1, Apc, Atxn1, Bend6, Bhlhe22, Bmpr1a, Bsg, Calr, Cav2, Cd24a, Cfl1, Chd5, Chl1, Cldn5, Creb1, Crmp1, Ctnnb1, Cux2, Dpysl2, Eef1a1, Eif4g1, Eif4g2, Epha5, Fez1, Fgf13, Fkbp1b, Gap43, Gas7, Gdi1, Gpx1, Gsk3b, H3f3a, Hba-a1, Hba-a2, Hnrnpk, Hprt, Hsp90aa1, Hsp90ab1, Ift20, Ift74, Jund, Kif5c, Lgals1, Map1a, Map1b, Map2, Mapt, Mef2c, Metrn, Mif, Mmd, Mt3, Naca, Ncs1, Nme2, Nsmf, Numbl, Pcm1, Pcp4, Pebp1, Pin1, Plk2, Pou3f1, Ppp1r16b, Prkaca, Ptprz1, Rab11a, Rab1a, Rab3a, Ranbp1, Rheb, Rhoa, Rorb, Rtn4, Serpine2, Slc1a3, Slc25a4, Snap25, Sox4, Stk25, Stmn1, Stmn2, Stmn3, Ttc3, Tubb2b, Tubb3, Ubb, Ube2v2, Uchl1, Uqcrq, Vapa, Ywhah, Ywhaz"
"9316","GO:0044456",2.74557602909067e-09,1,70,646,"synapse part","CC","Actb, Actg1, Adgra1, Atp1a2, Cald1, Calm1, Calm2, Calm3, Camk2n1, Camkv, Cfl1, Clta, Cnih2, Cpe, Cplx2, Ctnnb1, Dlgap4, Dpysl2, Eif4g1, Eif4g2, Fabp5, Fkbp1a, Fxyd6, Gap43, Gapdh, Gsk3b, Hnrnpk, Kif1a, Lin7b, Mal2, Map1a, Map1b, Map2, Mapt, Marcksl1, Mt3, Ncs1, Npy, Nrgn, Nrxn2, Nsg1, Nsmf, Pebp1, Pfn1, Pfn2, Pin1, Prkaca, Psma7, Ptprz1, Rab11a, Rab11b, Rab1a, Rab3a, Rab3d, Rheb, Rhoa, Rph3a, Rtn4, Slc1a3, Slc6a11, Snap25, Snca, Sncb, Sparcl1, Stx1a, Stx7, Tprgl, Vamp2, Ywhah, Ywhaz"
"10580","GO:0048731",9.80090928842806e-09,1,148,1723,"system development","BP","AY036118, Actb, Agap2, Anp32b, Apc, Aprt, Atxn1, Basp1, Bend6, Bhlhe22, Bmpr1a, Bsg, Bzw2, Calr, Cav2, Cd24a, Cdk4, Cfl1, Chd5, Chl1, Cldn5, Cox7b, Cpe, Cplx2, Creb1, Crmp1, Ctla2a, Ctnnb1, Ctsl, Cux2, Cxcl14, Ddah1, Dnajb6, Dok5, Dpysl2, Eef1a1, Eef2, Eif2s2, Eif4g1, Eif4g2, Epha5, Fabp7, Fez1, Fgf13, Fkbp1a, Fkbp1b, Gap43, Gas7, Gdi1, Gnas, Gnb1, Gng5, Gpx1, Gsk3b, H2afy, Hba-a1, Hba-a2, Hmgn1, Hnrnpk, Hprt, Hsp90aa1, Hsp90ab1, Ift20, Ift74, Igfbp7, Kdm5b, Kif1a, Kif5c, Lgals1, Lmo4, Lrrc24, Ly6e, Mal2, Map1a, Map1b, Map2, Mapt, Mef2c, Meg3, Metrn, Mif, Mmd, Mmp14, Mt3, N4bp2l2, Naca, Nav1, Ncl, Ncs1, Ndufs4, Nme2, Nnat, Nrxn2, Nsmf, Numbl, Olig1, Pcm1, Pcp4, Pebp1, Pfdn5, Pfn1, Pglyrp1, Pin1, Plk2, Pou3f1, Ppia, Ppp1r16b, Prdx2, Prkaca, Ptprz1, Rab11a, Rab3a, Ranbp1, Rbp1, Rheb, Rhoa, Rorb, Rtn4, Serpine2, Slc1a3, Slc25a4, Smap1, Smarcc2, Snap25, Snca, Sox4, Sparc, Spry2, Srpk2, Stk25, Stmn1, Stmn2, Stmn3, Taf10, Tmem176b, Trappc2, Ttc3, Tubb2b, Tubb3, Ubb, Ube2v2, Uchl1, Uqcrq, Vapa, Xist, Ywhae, Ywhah, Ywhaz"
"10628","GO:0048856",1.46821104679492e-08,1,174,2101,"anatomical structure development","BP","AY036118, Actb, Actg1, Agap2, Anp32b, Apc, Aprt, Arhgdig, Atxn1, Basp1, Bend6, Bhlhe22, Bmpr1a, Brk1, Bsg, Btf3, Bzw2, Calr, Cav2, Cd24a, Cdk4, Cfl1, Chd5, Chl1, Cldn5, Cox7b, Cpe, Cplx2, Creb1, Crmp1, Ctla2a, Ctnnb1, Ctsl, Cux2, Cxcl14, Ddah1, Dnajb6, Dok5, Dpysl2, Dusp3, Eef1a1, Eef2, Eif2s2, Eif4g1, Eif4g2, Eif5a, Epha5, Fabp7, Fez1, Fgf13, Fis1, Fkbp1a, Fkbp1b, Gap43, Gapdh, Gas7, Gatm, Gdi1, Gnas, Gnb1, Gng5, Gpx1, Gpx4, Gsk3b, H2afy, H3f3a, Hba-a1, Hba-a2, Hmgn1, Hnrnpk, Hprt, Hsp90aa1, Hsp90ab1, Ift20, Ift74, Igfbp7, Jund, Kdm5b, Kif1a, Kif5c, Lgals1, Lmo4, Lrrc24, Ly6e, Mal2, Map1a, Map1b, Map2, Mapt, Mef2c, Meg3, Metrn, Mif, Mmd, Mmp14, Mn1, Mt3, N4bp2l2, Naca, Nav1, Ncl, Ncs1, Ndufa2, Ndufs4, Nme2, Nnat, Nrxn2, Nsmf, Numbl, Olig1, Pcm1, Pcp4, Pebp1, Pfdn5, Pfn1, Pglyrp1, Pin1, Plk2, Pou3f1, Ppdpf, Ppia, Ppp1r16b, Prdx2, Prkaca, Prpf40a, Ptprz1, Rab11a, Rab18, Rab1a, Rab3a, Ranbp1, Rbp1, Rheb, Rhoa, Rorb, Rtf1, Rtn4, Serpine2, Slc1a3, Slc25a4, Smap1, Smarcc2, Snap25, Snca, Sox4, Sparc, Spry2, Srpk2, Stk25, Stmn1, Stmn2, Stmn3, Sumo1, Taf10, Tbcc, Tmem176b, Tmsb4x, Top1, Tpt1, Trappc2, Ttc3, Tubb2b, Tubb3, Ubb, Ube2v2, Uchl1, Ugdh, Uqcrq, Vapa, Xist, Ybx1, Ywhae, Ywhah, Ywhaz"
"2914","GO:0007275",1.56354363680937e-08,1,163,1939,"multicellular organism development","BP","AY036118, Actb, Agap2, Anp32b, Apc, Aprt, Arhgdig, Atxn1, Basp1, Bend6, Bhlhe22, Bmpr1a, Brk1, Bsg, Btf3, Bzw2, Calr, Cav2, Cd24a, Cdk4, Cfl1, Chd5, Chl1, Cldn5, Cox7b, Cpe, Cplx2, Creb1, Crmp1, Ctla2a, Ctnnb1, Ctsl, Cux2, Cxcl14, Ddah1, Dnajb6, Dok5, Dpysl2, Dusp3, Eef1a1, Eef2, Eif2s2, Eif4g1, Eif4g2, Epha5, Fabp7, Fez1, Fgf13, Fkbp1a, Fkbp1b, Gap43, Gapdh, Gas7, Gatm, Gdi1, Gnas, Gnb1, Gng5, Gpx1, Gpx4, Gsk3b, H2afy, Hba-a1, Hba-a2, Hmgn1, Hnrnpk, Hprt, Hsp90aa1, Hsp90ab1, Ift20, Ift74, Igfbp7, Kdm5b, Kif1a, Kif5c, Lgals1, Lmo4, Lrrc24, Ly6e, Mal2, Map1a, Map1b, Map2, Mapt, Mef2c, Meg3, Metrn, Mif, Mmd, Mmp14, Mn1, Mt3, N4bp2l2, Naca, Nav1, Ncl, Ncs1, Ndufa2, Ndufs4, Nme2, Nnat, Nrxn2, Nsmf, Numbl, Olig1, Pcm1, Pcp4, Pebp1, Pfdn5, Pfn1, Pglyrp1, Pin1, Plk2, Pou3f1, Ppdpf, Ppia, Ppp1r16b, Prdx2, Prkaca, Ptprz1, Rab11a, Rab18, Rab3a, Ranbp1, Rbp1, Rheb, Rhoa, Rorb, Rtf1, Rtn4, Serpine2, Slc1a3, Slc25a4, Smap1, Smarcc2, Snap25, Snca, Sox4, Sparc, Spry2, Srpk2, Stk25, Stmn1, Stmn2, Stmn3, Taf10, Tmem176b, Top1, Trappc2, Ttc3, Tubb2b, Tubb3, Ubb, Ube2v2, Uchl1, Ugdh, Uqcrq, Vapa, Xist, Ybx1, Ywhae, Ywhah, Ywhaz"
"9222","GO:0044297",1.78193941336503e-08,1,55,436,"cell body","CC","Apc, Bmpr1a, Cald1, Camk2n1, Cd200, Cfl1, Cpe, Cplx2, Crmp1, Cst3, Ctsl, Dlgap4, Dpysl2, Dynlt1a, Eif5a, Epha5, Fabp7, Fez1, Gabarap, Gdi1, Gnai2, Gnas, Gnb1, Gsk3b, Hsp90aa1, Hsp90ab1, Kif1a, Kif5c, Map1a, Map1b, Map2, Mapt, Npy, Nrgn, Nsmf, Pebp1, Ptprz1, Rab1a, Rbp1, Rheb, Rtn4, Serpine2, Slc1a3, Snap25, Snca, Sncb, Sst, Stmn2, Top1, Tubb3, Tubb4a, Tubb5, Ubb, Uchl1, Ybx1"
"3163","GO:0008283",2.03538813202388e-08,1,80,710,"cell proliferation","BP","AY036118, Agap2, Anp32b, Apc, Atxn1, Bmpr1a, Brk1, Calr, Camk2n1, Cav2, Ccnd2, Cd200, Cd24a, Cd81, Cdk4, Chd5, Creb1, Cst3, Ctnnb1, Ctsl, Ddah1, Eef1e1, Eif2s2, Eif4g1, Eif5a, Erdr1, Fabp7, Fgf13, Fkbp1a, Fkbp1b, Fth1, Gnai2, Gnas, Gnb1, Gng5, Gpx1, Gsk3b, Gstp1, H3f3a, Hmgn1, Hprt, Hras, Ift20, Ift74, Kdm5b, Kif1a, Malat1, Marcksl1, Med25, Mef2c, Mif, Mmp14, Morf4l1, N4bp2l2, Naca, Ndufs4, Nme2, Npm1, Numbl, Pcm1, Pin1, Ppp1r16b, Prdx1, Prdx2, Prkaca, Ptgds, Ptprz1, Rgs5, Rhoa, Rnf187, Rtn4, S100a11, Serpine2, Sox4, Sparc, Spry2, Srpk2, Trim24, Uchl1, Ybx1"
"5877","GO:0030425",2.31327855107196e-08,1,49,402,"dendrite","CC","Apc, Atp1a2, Bmpr1a, Cald1, Camk2n1, Cfl1, Chl1, Cnih2, Cpe, Cplx2, Crmp1, Ctla2a, Ctnnb1, Dlgap4, Dpysl2, Eif5a, Epha5, Fez1, Fgf13, Gnai2, Gnas, Gnb1, Gsk3b, Hnrnpk, Hsp90aa1, Hsp90ab1, Ift20, Kif1a, Kif5c, Map1a, Map1b, Map2, Mapt, Ncs1, Nrgn, Nsg1, Nsmf, Plk2, Ppfia1, Prkaca, Ptprz1, Rheb, Rhoa, Rtn4, Slc1a3, Sumo1, Tubb3, Ybx1, Zwint"
"14026","GO:0097447",2.69646651389656e-08,1,49,404,"dendritic tree","CC","Apc, Atp1a2, Bmpr1a, Cald1, Camk2n1, Cfl1, Chl1, Cnih2, Cpe, Cplx2, Crmp1, Ctla2a, Ctnnb1, Dlgap4, Dpysl2, Eif5a, Epha5, Fez1, Fgf13, Gnai2, Gnas, Gnb1, Gsk3b, Hnrnpk, Hsp90aa1, Hsp90ab1, Ift20, Kif1a, Kif5c, Map1a, Map1b, Map2, Mapt, Ncs1, Nrgn, Nsg1, Nsmf, Plk2, Ppfia1, Prkaca, Ptprz1, Rheb, Rhoa, Rtn4, Slc1a3, Sumo1, Tubb3, Ybx1, Zwint"
