"GeneID"	"GeneAnnotation"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"Hist1h3f"	"HIST1H3F"	-0.818655194863365	5.85733272773443	94.6955611995172	5.29298443299244e-05	0.00735790080757256
"Ncam2"	"NCAM2"	0.802350970757775	5.67848435984544	185.270276697082	2.53555351732755e-05	0.00430860804920335
"Hrk"	"HRK"	0.793065248185074	5.70748425852032	683.948282516359	2.51050059781836e-05	0.00430860804920335
"Cdh8"	"CDH8"	0.790545807825489	6.82957164752189	322.529816636201	1.30348352479227e-06	0.000705272023520367
"Nr4a2"	"NR4A2"	-0.788856813727352	6.41178403245516	125.225807962596	2.30611399631227e-05	0.00407062788408787
"Arhgap29"	"ARHGAP29"	-0.777749165268616	5.79789979272391	304.805901162547	7.49041172034895e-06	0.00166745357082068
"Fezf2"	"FEZF2"	0.769854426527545	6.39628249998577	289.807886699058	1.80975468751618e-06	0.000814172674330201
"Epha7"	"EPHA7"	0.760472317303246	6.9930704385879	160.054791847952	1.102806644195e-05	0.00225420071155452
"Pik3r1"	"PIK3R1"	-0.748304734661288	7.84922344622948	1094.46997849298	2.98058492752659e-08	6.00545283111929e-05
"Kitl"	"KITLG"	-0.739097554564283	6.94365364660086	153.420622713372	1.25305563269281e-05	0.00245459675604158
"Hist1h2be"	"HIST1H2BE"	-0.71715985317023	6.30673123837201	90.3430547330762	6.08072809422081e-05	0.00801519523746638
"Dusp26"	"DUSP26"	0.692026542320829	6.0422744854221	301.15872115034	2.69592910607773e-05	0.00437050392093336
"Crim1"	"CRIM1"	0.671100176205132	6.73062469094915	362.123444215188	9.13199651211758e-07	0.000705272023520367
"Cxcl12"	"CXCL12"	-0.668294877131159	5.69667770275591	74.8987120529247	0.000287341732676996	0.0271991127360829
"Unc5c"	NA	0.662309613702691	6.4422949413947	371.788825201343	3.0805465555498e-06	0.00111894039634913
"Tmeff2"	"TMEFF2"	0.658398454882377	5.84759547950395	270.171222088251	0.000210265614846238	0.0213155179688169
"Mmp17"	"MMP17"	-0.654232655332119	6.5522878609875	96.8616337878934	4.95089313352431e-05	0.00705327239951787
"Socs2"	"SOCS2"	0.653198466132983	6.38958793147888	355.868090192256	8.69555107994132e-06	0.00185821291562867
"Entpd4"	"ENTPD4"	0.652917738960994	5.91441361520847	286.48136715455	0.000371507249761093	0.0330454575044235
"Ryr3"	"RYR3"	0.652611565990099	6.0507859916174	282.898752765096	6.42976910500575e-05	0.00822569522106945
"Brinp1"	NA	0.641411252134143	6.5442725755693	330.590312007807	2.47871751303899e-06	0.00102823034717359
"Dusp4"	"DUSP4"	0.637557224581341	6.99894705287178	65.3454503271117	0.000156333444008874	0.0169609761100089
"Prkar2b"	"PRKAR2B"	-0.632999325672968	8.22698435264003	1009.25847224564	3.83394335258645e-08	6.62699346239616e-05
"Hist1h4f"	"HIST1H4F"	-0.628622454699533	5.78435321944146	66.3940033646957	0.000344054581463852	0.0313067472062334
"Eif1b"	"EIF1B"	-0.626393229259159	6.85084880896963	318.85638849422	1.35013787826502e-06	0.000705272023520367
"Dio2"	"DIO2"	0.624247988500236	6.58976222594993	330.704899162956	3.73671945110171e-06	0.00119714125035474
"Lmo7"	"LMO7"	-0.610374388062831	6.34183511713482	87.2513279764314	6.7366551782178e-05	0.00826206822900729
"Gse1"	NA	-0.608477933232095	6.53419113260174	511.086953874688	6.86697813773097e-06	0.00158967023863728
"Ptprz1"	"PTPRZ1"	0.607891869109115	8.66191178219085	40.4587885480603	0.000604920256157518	0.0484761096184411
"Sh3rf1"	"SH3RF1"	0.60032685155606	6.22133948374105	169.058013946753	8.83974862081016e-05	0.0104769592057064
"Pcnx"	NA	-0.597261395439742	7.46263801997098	181.27959764198	7.56643707689473e-06	0.00166745357082068
"Neurod1"	"NEUROD1"	0.597053976072215	6.05078596886701	72.5847680583249	0.000265875307184827	0.0256842830995534
"Dpp10"	"DPP10"	0.5909691364063	6.2585564376915	88.3161505176297	0.000103150145424863	0.011827883342051
"Camk1d"	"CAMK1D"	0.584149427377811	6.02221688336022	68.5077041757793	0.000404097665031585	0.0348045915900661
"Rbfox1"	"RBFOX1"	-0.581271145011714	7.61293896652816	102.67730910737	4.16596300611769e-05	0.00612049398315457
"Trpc4"	"TRPC4"	0.575498315181893	6.1198276281446	258.921487711865	0.000222111027163921	0.0222174037384393
"Prkcb"	"PRKCB"	-0.571829564800297	7.48059929687899	217.014498664142	4.37986301498323e-06	0.00131034779036754
"Rabgap1l"	"RABGAP1L"	0.5635345118136	8.66930069699938	210.599915936391	4.79879699555202e-06	0.00138127005765848
"Klhl13"	"KLHL13"	0.562594663422335	6.04795443029894	191.946560647631	0.000563317661726131	0.0461920482615427
"Necab1"	"NECAB1"	-0.549644240598071	6.05924783026229	159.860189234796	0.000373444279369903	0.0330454575044235
"Tgfbr1"	"TGFBR1"	-0.544632958908575	7.18957514942647	508.317371419474	3.21012557462065e-07	0.000301837407362998
"Lrrtm1"	"LRRTM1"	0.543744575488599	6.47849729964283	167.753925385378	0.000104340809371274	0.0118679256078423
"Rnd3"	"RND3"	0.543687454932657	6.58586308524618	166.156753056844	6.54373387782345e-05	0.00824043059043053
"Slc1a2"	"SLC1A2"	0.539736836312184	8.07949344418952	120.15623300148	2.60935171972733e-05	0.00436394537356655
"Slitrk5"	"SLITRK5"	0.539236466359267	6.89248287970089	240.113083959252	8.21142487829209e-06	0.00178175286897587
"Runx1t1"	"RUNX1T1"	0.538666551143491	8.33894149783965	287.875280896889	1.84724373075485e-06	0.000814172674330201
"Lrrtm2"	"LRRTM2"	-0.533994294069448	6.19085912335809	99.8289925977803	0.000319174435002899	0.0296160278373742
"Fat1"	"FAT1"	0.529353014908481	7.66005881313429	87.4063121793213	6.70160842827153e-05	0.00826206822900729
"Sv2b"	"SV2B"	-0.526739116507064	6.31617611839791	165.029544804962	0.000325501716347777	0.0300057268455493
"Igfbp5"	"IGFBP5"	-0.511240844400244	7.54427297384926	138.863640129177	1.69151972347325e-05	0.00318095922398223
"Neto2"	"NETO2"	-0.502982860608729	8.3527759066498	386.300357430498	7.48494623658073e-07	0.000620986363063145
"Dcc"	"DCC"	0.500622213477492	7.24254666864399	147.07025436823	1.42325432284397e-05	0.00274980533827279
"Cdk17"	"CDK17"	0.495126075631675	7.75166067778727	320.403670819855	1.33022219569241e-06	0.000705272023520367
"Dok4"	"DOK4"	-0.493536132220799	7.42275511963872	166.188318753468	9.84369454393729e-06	0.00207217116190584
"Meis2"	"MEIS2"	-0.488090162144446	8.07810718636015	326.890184573904	1.25082756319439e-06	0.000705272023520367
"Crym"	NA	0.485246083241345	6.99307044484947	102.633180984259	4.67667495697308e-05	0.00679998181372663
"Mpped1"	"MPPED1"	-0.481647182898296	9.89819499397425	200.895374540936	5.5392157848034e-06	0.00146149818989579
"Mn1"	"MN1"	-0.475653528673585	8.37441103230764	319.79039439006	1.33806921376358e-06	0.000705272023520367
"Pvrl3"	"PVRL3"	0.475488560371152	6.60139696967824	219.291757203581	0.000337991223030289	0.0309547286338909
"Scn2a1"	NA	-0.463311962478124	7.9042733757174	185.915321988869	7.00874812125951e-06	0.001594377153262
"Gnal"	"GNAL"	-0.456131889121067	7.11442467492426	64.7862357069546	0.000160253658239576	0.0171228605743256
"Pcdh19"	"PCDH19"	0.455126161612094	6.81465570093101	157.800288504896	0.000242830731650552	0.023619894063444
"Txnip"	"TXNIP"	-0.453883686153939	6.95578985203529	99.9887925024155	6.26804247676621e-05	0.00811164650236955
"Kif26a"	"KIF26A"	0.451477878998798	7.566207414858	239.400749945632	3.24677371503987e-06	0.00111894039634913
"Mef2c"	"MEF2C"	-0.451026294773035	9.18636040497267	295.250402902047	1.70943661070288e-06	0.000814172674330201
"Dok5"	"DOK5"	-0.44750625184728	6.59559162779018	143.631152566126	0.000562941700307034	0.0461920482615427
"Tnc"	"TNC"	0.445724872754523	9.81361332717858	103.429457875343	4.07676394501586e-05	0.00605517283478215
"Hist1h4c"	"HIST1H4C"	-0.444394940265503	6.76895980293821	82.1942309990848	0.000194105320008369	0.0199829301707886
"Kif26b"	"KIF26B"	-0.439542016792017	6.70209128643603	113.206217442365	0.000443011435815185	0.0376399595827552
"Arrdc3"	"ARRDC3"	-0.437415300108107	6.67114264351532	83.8238353710368	0.000360795029933747	0.0326195711678562
"Tmem2"	"TMEM2"	0.434678016568186	7.20363748352553	73.1903627291775	0.000112596173496546	0.0127044514479622
"Nuak1"	"NUAK1"	-0.432014025247488	7.93983995468183	338.002682117566	1.12875517869989e-06	0.000705272023520367
"Cyth3"	"CYTH3"	-0.421139571365854	7.03942644468567	222.653861116393	0.000150699550493747	0.0164764841873164
"Sema6d"	"SEMA6D"	0.415994137534446	7.11712851408142	47.3065264091585	0.000391762386007877	0.0341075104460192
"Vldlr"	"VLDLR"	0.414012693777816	7.37158218429127	58.8073882845796	0.00021158341716069	0.0213155179688169
"Pak3"	"PAK3"	0.411391508230618	8.81465527710549	333.687346247547	1.17420706370195e-06	0.000705272023520367
"Ube2ql1"	"UBE2QL1"	-0.410150850257996	8.079494322609	221.110492792881	4.13735062483415e-06	0.00126854767853611
"Slc1a3"	"SLC1A3"	0.409638797857206	8.57065318916419	197.844757535239	5.80288560934235e-06	0.00146149818989579
"Nrp2"	"NRP2"	0.409419236395673	7.71553635799042	87.8114616173072	6.61112170776512e-05	0.00825161597932029
"Adcy1"	"ADCY1"	-0.40846037144347	9.23727500638303	310.483629826652	1.46502528355357e-06	0.000737954164258556
"Aff3"	"AFF3"	-0.408156202556198	7.65355437566496	382.161880820978	5.66566760207601e-06	0.00146149818989579
"Sphkap"	"SPHKAP"	0.405666986143169	7.3149986155422	52.0299328443713	0.000299697525806174	0.0281795593598018
"Clstn2"	"CLSTN2"	-0.405186833712673	7.20236496983075	74.8227731479527	0.000113672704386607	0.0127241255767358
"Hdac5"	"HDAC5"	-0.404723268932263	7.0718478870872	202.158521629712	0.000282286702851202	0.0269011598446848
"Tiam2"	"TIAM2"	-0.401996716536657	8.44875032076981	75.536017404701	0.000102722044078861	0.011827883342051
"Pcdh17"	"PCDH17"	0.400300047497716	7.06205710712485	152.681260886233	0.000514702134401195	0.0432104696642527
"Slc6a15"	"SLC6A15"	0.397733691779485	7.44767618534124	85.9506176327392	7.04054655643473e-05	0.00856033350275478
"Itpr1"	"ITPR1"	0.397248752205294	8.42548429398749	198.922649597276	5.70786539858006e-06	0.00146149818989579
"Sez6"	"SEZ6"	0.393980356725488	8.70658622516441	139.712728096284	1.66082019921969e-05	0.00316543352564792
"Igfbpl1"	"IGFBPL1"	-0.393269350453501	8.71642884192065	62.2666666630724	0.000179621274184689	0.0187657663044508
"Prex1"	"PREX1"	-0.393214798502764	6.96932214042476	96.7706601054523	0.000598419544284698	0.0482291957290936
"Sall2"	"SALL2"	0.391003540586567	7.08018690944662	177.961320582661	0.000541355046092708	0.0449133621770092
"Neurod6"	"NEUROD6"	-0.384313076319967	9.38510853719723	88.4409206088226	6.47371078799425e-05	0.00822569522106945
"Nfia"	"NFIA"	-0.383699216248275	7.34990448482796	157.439879952629	0.000124670625697644	0.0138453110617289
"Bai1"	"BAI1"	-0.383119231885129	7.16626356023632	104.512500266496	0.000374877566697941	0.0330454575044235
"Kctd12"	NA	-0.376591852524761	8.47954908514635	110.480243166988	3.35143811034727e-05	0.00513790033786282
"Cntn2"	"CNTN2"	-0.370212227237691	9.39739594084369	157.437235499879	1.15908573848562e-05	0.00230249933177482
"Atp2b1"	"ATP2B1"	0.363181732068039	8.90974191663284	114.075990783498	3.04658148785332e-05	0.0048279758769307
"Rab6b"	"RAB6B"	0.357083033149228	7.93907546358641	252.989062808487	1.97718718963441e-05	0.00362159066527321
"Atp8a1"	"ATP8A1"	-0.352437269498496	8.23509789754846	116.982619088055	2.82639624309905e-05	0.00452994234234876
"Zeb2"	"ZEB2"	-0.339690387887301	9.7092784871104	187.09682930919	6.87534632422534e-06	0.00158967023863728
"Fam171b"	"FAM171B"	-0.336343547841125	7.50558155051804	128.478601496354	0.000389195927287796	0.0340945301768141
"Cbx5"	"CBX5"	0.335875327274049	8.93754617575363	187.606771795214	6.81880517891793e-06	0.00158967023863728
"Carhsp1"	"CARHSP1"	-0.332923101654895	7.84024960510015	98.5056975718385	7.82533801054952e-05	0.00943321088040944
"Pak1"	NA	0.325974223294697	7.99086050181802	184.455619388855	6.0087004460943e-05	0.00799497274450132
"Ddah2"	"DDAH2"	-0.322594782539185	7.49626365188579	71.2808074608567	0.000630196284139075	0.0499342044466152
"Nmnat2"	"NMNAT2"	-0.313988939305523	7.97752991958684	84.7551826692794	9.98735073811369e-05	0.0116414541165583
"Cadm1"	"CADM1"	0.313477170767337	8.25978036679692	334.230151694583	2.66094230095521e-05	0.00436394537356655
"Tmem132a"	"TMEM132A"	-0.304630678802445	8.84637420106921	89.4124830023522	6.26892703316989e-05	0.00811164650236955
"Lrrn3"	"LRRN3"	0.282732079267306	7.99894700490692	187.539961544161	0.000500589043228834	0.0422772926089789
"Rab3c"	"RAB3C"	0.281418642378684	8.32731175801404	64.330977387577	0.000163541501191361	0.0173427769383681
"Setbp1"	"SETBP1"	-0.272806181740278	7.99821418506628	58.3209859529603	0.000593030691528764	0.0480695682374809
"Slc8a1"	"SLC8A1"	-0.269335762692557	9.05713741170225	54.1070624818563	0.00026824066343105	0.0257365055580376
"Gpm6a"	"GPM6A"	-0.250494582853319	10.3925219516777	128.327704578911	2.14323723649028e-05	0.00387541256198192
"Neo1"	"NEO1"	0.248210858262263	9.22635737970156	96.9099659457005	4.94359766358233e-05	0.00705327239951787
"Copa"	"COPA"	0.247773882776235	8.81715243703443	42.218915348743	0.000537817139490371	0.0448838635229124
"Zbtb18"	NA	-0.246944322528688	10.1253798733834	111.382946785128	3.2712493802072e-05	0.00507349305257823
"Nrp1"	"NRP1"	0.213373287793094	9.20776620900459	60.9520297270413	0.000190962978560474	0.0198039841883597
"Hecw1"	"HECW1"	-0.205771859838284	8.83039636060955	73.0439921504863	0.000625454909488482	0.0498385087199183
"Mturn"	NA	-0.189863261488692	9.39349741120541	62.8328000586326	0.000175010986225406	0.0184205593262919
"Tmsb4x"	"TMSB4X"	0.155146715975624	10.4733614871618	48.5816583493555	0.000363595085226415	0.03266334447155
